name,price,url,views_cnt,city,seller,seller_rating,comments_cnt
"Этно украшения для волос -шекелик, шашбау, заколки",1200.0,https://www.avito.ru/sankt-peterburg/chasy_i_ukrasheniya/etno_ukrasheniya_dlya_volos_-shekelik_shashbau_zakolki_4898213014?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,687,Санкт-Петербург,Розалия Максутова,,9
Этно украшения,150.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_4468207752?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1064,Махачкала,SAFIYA,,50
"Серебряное кольцо бижутерия в этно-стиле ""Геометри",649.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/serebryanoe_koltso_bizhuteriya_v_etno-stile_geometri_4655228494?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,50,Москва,Amvia,,1
Чолпы/чулпы/шолпы этно украшение для волос,320.0,https://www.avito.ru/pskov/odezhda_obuv_aksessuary/cholpychulpysholpy_etno_ukrashenie_dlya_volos_4455581414?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,54,Псков,koshkinekusayut,,7
Украшения авторские в стиле бохо,1000.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_avtorskie_v_stile_boho_3294291803?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,576,Москва,A'Mara,,68
Этно украшения,150.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_3539773894?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1670,Махачкала,SAFIYA,,50
"Украшения Бохо, этно, винтаж",200.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_boho_etno_vintazh_3817748189?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,406,Москва,Viktoria,,217
"Этно пояс, этно украшения",1900.0,https://www.avito.ru/buynaksk/chasy_i_ukrasheniya/etno_poyas_etno_ukrasheniya_3762033146?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1574,г.о. Буйнакск,Компания,,2
Этно украшения на голову,990.0,https://www.avito.ru/moskva/odezhda_obuv_aksessuary/etno_ukrasheniya_na_golovu_4502209943?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,30,Москва,ST_krossshop,,22
Авторские украшения ручной работы серьги этно,1250.0,https://www.avito.ru/moskva_zelenograd/chasy_i_ukrasheniya/avtorskie_ukrasheniya_ruchnoy_raboty_sergi_etno_4640057095?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,16,Москва,ArtBijou Натальи Пахомовой,,4
Этно кольцо,10.0,https://www.avito.ru/ufa/odezhda_obuv_aksessuary/etno_koltso_3941741872?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1437,Уфа,Карина,,27
Ожерелье чокер этно стиль ручная работа,755.0,https://www.avito.ru/voronezh/chasy_i_ukrasheniya/ozherele_choker_etno_stil_ruchnaya_rabota_7242789358?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,29,Воронеж,Екатерина,,35
Колье бижутерия этно украшения ожерелье монисто,600.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/kole_bizhuteriya_etno_ukrasheniya_ozherele_monisto_4502184372?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,100,Москва,ST_krossshop,,22
